id,mountain_id,area_id
1,2,1
2,3,1
3,5,3
4,5,2
5,6,3
6,6,2
7,7,4
8,7,2
9,8,5
10,11,6
11,12,6
12,13,6
13,14,7
14,15,8
15,16,8
16,17,9
17,18,6
18,19,10
19,20,11
20,21,6
21,23,12
22,24,13
23,25,14
24,26,15
25,27,12
26,27,15
27,30,16
28,31,16
29,32,17
30,33,12
31,34,18
32,35,18
33,36,18
34,37,18
35,38,19
36,39,19
37,40,19
38,41,20
39,45,21
40,46,22
41,47,22
42,48,22
43,49,21
44,50,22
45,51,23
46,53,24
47,54,25
48,54,26
49,55,25
50,55,26
51,56,25
52,56,26
53,57,25
54,57,27
55,58,25
56,58,27
57,59,25
58,59,27
59,60,25
60,60,27
61,61,25
62,62,25
63,63,25
64,64,25
65,65,25
66,66,25
67,67,25
68,68,25
69,69,28
70,70,29
71,71,30
72,72,30
73,74,31
74,75,31
75,76,31
76,77,32
77,78,32
78,79,32
79,80,32
80,81,32
81,82,32
82,83,32
83,84,32
84,85,32
85,86,32
86,87,33
87,88,34
88,89,35
89,90,36
90,91,37
91,91,38
92,93,39
93,94,39
94,95,40
95,96,41
96,97,42
97,98,43
98,100,44
