id,mountain_id,prefecture_id
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,2
11,11,2
12,12,3
13,13,3
14,14,3
15,15,6
16,15,5
17,16,6
18,17,6
19,18,6
20,18,4
21,19,7
22,20,7
23,20,6
24,21,7
25,22,7
26,23,7
27,24,9
28,25,8
29,26,7
30,27,10
31,28,10
32,29,10
33,30,9
34,31,10
35,31,9
36,32,9
37,32,10
38,33,15
39,34,10
40,34,15
41,35,10
42,35,15
43,36,10
44,36,15
45,37,15
46,37,17
47,38,15
48,38,17
49,39,15
50,40,15
51,41,15
52,41,17
53,42,10
54,43,17
55,43,10
56,44,10
57,44,17
58,45,11
59,46,11
60,46,16
61,46,17
62,47,16
63,47,17
64,48,16
65,49,11
66,49,13
67,49,16
68,50,16
69,51,14
70,52,16
71,52,19
72,53,19
73,54,21
74,54,17
75,55,21
76,55,17
77,56,21
78,56,17
79,57,21
80,58,21
81,59,21
82,60,21
83,60,18
84,61,21
85,62,21
86,62,17
87,63,17
88,63,18
89,64,17
90,64,18
91,65,17
92,66,18
93,67,17
94,67,18
95,68,18
96,68,17
97,69,17
98,70,17
99,71,17
100,72,17
101,72,16
102,73,17
103,73,18
104,74,17
105,75,17
106,76,17
107,76,18
108,77,16
109,77,17
110,78,16
111,78,17
112,79,16
113,80,16
114,81,16
115,81,19
116,82,17
117,82,19
118,83,19
119,84,17
120,84,19
121,85,17
122,85,19
123,86,19
124,86,17
125,87,22
126,87,18
127,88,23
128,89,25
129,89,18
130,90,29
131,90,24
132,91,29
133,92,31
134,93,36
135,94,38
136,95,44
137,96,44
138,96,45
139,97,43
140,98,45
141,98,46
142,99,46
143,100,46
